date_date,Product_ID,Count of purchase
1/12/2012,P00000142,163
1/12/2012,P00000242,61
1/12/2012,P00000342,35
1/12/2012,P00000442,14
1/12/2012,P00000542,29
1/12/2012,P00000642,66
1/12/2012,P00000742,32
1/12/2012,P00000842,10
1/12/2012,P00000942,5
1/12/2012,P00001042,85
1/12/2012,P00001142,79
1/12/2012,P00001242,14
1/12/2012,P00001342,10
1/12/2012,P00001442,11
1/12/2012,P00001542,13
1/12/2012,P00001642,51
1/12/2012,P00001742,57
1/12/2012,P00001842,15
1/12/2012,P00001942,35
1/12/2012,P00002042,11
1/12/2012,P00002142,96
1/12/2012,P00002242,27
1/12/2012,P00002342,10
1/12/2012,P00002442,51
1/12/2012,P00002542,81
1/12/2012,P00002642,10
1/12/2012,P00002742,6
1/12/2012,P00002842,7
1/12/2012,P00002942,33
1/12/2012,P00003042,3
1/12/2012,P00003142,14
1/12/2012,P00003242,115
1/12/2012,P00003342,1
1/12/2012,P00003442,141
1/12/2012,P00003542,3
1/12/2012,P00003642,69
1/12/2012,P00003742,2
1/12/2012,P00003842,2
1/12/2012,P00003942,120
1/12/2012,P00004042,2
1/12/2012,P00004142,18
1/12/2012,P00004242,21
1/12/2012,P00004342,13
1/12/2012,P00004442,21
1/12/2012,P00004542,41
1/12/2012,P00004642,6
1/12/2012,P00004742,94
1/12/2012,P00004842,25
1/12/2012,P00005042,128
1/12/2012,P00005142,41
1/12/2012,P00005342,4
1/12/2012,P00005442,4
1/12/2012,P00005642,13
1/12/2012,P00005742,35
1/12/2012,P00005842,1
1/12/2012,P00005942,20
1/12/2012,P00006042,3
1/12/2012,P00006142,41
1/12/2012,P00006242,14
1/12/2012,P00006342,7
1/12/2012,P00006442,13
1/12/2012,P00006542,6
1/12/2012,P00006742,3
1/12/2012,P00006842,23
1/12/2012,P00006942,72
1/12/2012,P00007042,7
1/12/2012,P00007142,9
1/12/2012,P00007242,25
1/12/2012,P00007342,10
1/12/2012,P00007442,2
1/12/2012,P00007542,12
1/12/2012,P00007642,4
1/12/2012,P00007742,3
1/12/2012,P00007842,10
1/12/2012,P00007942,2
1/12/2012,P00008042,11
1/12/2012,P00008142,5
1/12/2012,P00008242,6
1/12/2012,P00008342,1
1/12/2012,P00008442,15
1/12/2012,P00008542,18
1/12/2012,P00008642,7
1/12/2012,P00008742,17
1/12/2012,P00008842,20
1/12/2012,P00009042,7
1/12/2012,P00009142,6
1/12/2012,P00009242,15
1/12/2012,P00009342,56
1/12/2012,P00009442,1
1/12/2012,P00009542,2
1/12/2012,P00009742,5
1/12/2012,P00010042,2
1/12/2012,P00010142,2
1/12/2012,P00010242,47
1/12/2012,P00010342,31
1/12/2012,P00010442,2
1/12/2012,P00010542,17
1/12/2012,P00010642,1
1/12/2012,P00010742,186
1/12/2012,P00010842,94
1/12/2012,P00010942,38
1/12/2012,P00011042,5
1/12/2012,P00011142,1
1/12/2012,P00011242,5
1/12/2012,P00011342,4
1/12/2012,P00011442,4
1/12/2012,P00011542,1
1/12/2012,P00011742,4
1/12/2012,P00011842,16
1/12/2012,P00011942,8
1/12/2012,P00012042,1
1/12/2012,P00012142,32
1/12/2012,P00012242,5
1/12/2012,P00012442,3
1/12/2012,P00012842,5
1/12/2012,P00013142,14
1/12/2012,P00013242,2
1/12/2012,P00013642,9
1/12/2012,P00013742,45
1/12/2012,P00013842,1
1/12/2012,P00013942,32
1/12/2012,P00014042,37
1/12/2012,P00014242,12
1/12/2012,P00014442,4
1/12/2012,P00014542,93
1/12/2012,P00014642,38
1/12/2012,P00014742,1
1/12/2012,P00014842,59
1/12/2012,P00014942,12
1/12/2012,P00015042,9
1/12/2012,P00015142,2
1/12/2012,P00015242,17
1/12/2012,P00015342,23
1/12/2012,P00015442,10
1/12/2012,P00015542,47
1/12/2012,P00015642,61
1/12/2012,P00015742,29
1/12/2012,P00015842,29
1/12/2012,P00015942,26
1/12/2012,P00016042,70
1/12/2012,P00016142,2
1/12/2012,P00016242,1
1/12/2012,P00016342,27
1/12/2012,P00016442,10
1/12/2012,P00016542,30
1/12/2012,P00016642,7
1/12/2012,P00016742,41
1/12/2012,P00016842,48
1/12/2012,P00016942,6
1/12/2012,P00017042,21
1/12/2012,P00017142,23
1/12/2012,P00017242,13
1/12/2012,P00017342,1
1/12/2012,P00017442,3
1/12/2012,P00017542,31
1/12/2012,P00017642,5
1/12/2012,P00017742,4
1/12/2012,P00017842,2
1/12/2012,P00018042,40
1/12/2012,P00018142,20
1/12/2012,P00018242,8
1/12/2012,P00018342,18
1/12/2012,P00018442,4
1/12/2012,P00018542,8
1/12/2012,P00018642,6
1/12/2012,P00018842,16
1/12/2012,P00018942,16
1/12/2012,P00019042,7
1/12/2012,P00019142,44
1/12/2012,P00019242,2
1/12/2012,P00019342,50
1/12/2012,P00019442,12
1/12/2012,P00019542,2
1/12/2012,P00019642,2
1/12/2012,P00019742,1
1/12/2012,P00019842,21
1/12/2012,P00019942,17
1/12/2012,P00020042,2
1/12/2012,P00020142,4
1/12/2012,P00020242,17
1/12/2012,P00020342,57
1/12/2012,P00020442,5
1/12/2012,P00020542,1
1/12/2012,P00020642,2
1/12/2012,P00020842,13
1/12/2012,P00021042,9
1/12/2012,P00021142,22
1/12/2012,P00021242,11
1/12/2012,P00021342,13
1/12/2012,P00021542,1
1/12/2012,P00021642,21
1/12/2012,P00021742,82
1/12/2012,P00021842,34
1/12/2012,P00021942,19
1/12/2012,P00022142,12
1/12/2012,P00022242,2
1/12/2012,P00022342,14
1/12/2012,P00022442,26
1/12/2012,P00022542,44
1/12/2012,P00022642,33
1/12/2012,P00022742,16
1/12/2012,P00022842,15
1/12/2012,P00022942,69
1/12/2012,P00023042,21
1/12/2012,P00023142,26
1/12/2012,P00023242,3
1/12/2012,P00023342,9
1/12/2012,P00023442,5
1/12/2012,P00023542,4
1/12/2012,P00023642,10
1/12/2012,P00023942,1
1/12/2012,P00024042,62
1/12/2012,P00024142,42
1/12/2012,P00024242,7
1/12/2012,P00024342,15
1/12/2012,P00024442,3
1/12/2012,P00024542,1
1/12/2012,P00024642,28
1/12/2012,P00024742,62
1/12/2012,P00024842,6
1/12/2012,P00024942,6
1/12/2012,P00025042,23
1/12/2012,P00025142,9
1/12/2012,P00025242,16
1/12/2012,P00025342,7
1/12/2012,P00025442,214
1/12/2012,P00025542,24
1/12/2012,P00025642,10
1/12/2012,P00025842,1
1/12/2012,P00025942,59
1/12/2012,P00026042,54
1/12/2012,P00026142,11
1/12/2012,P00026242,4
1/12/2012,P00026342,4
1/12/2012,P00026442,4
1/12/2012,P00026542,5
1/12/2012,P00026642,36
1/12/2012,P00026742,14
1/12/2012,P00026842,2
1/12/2012,P00026942,7
1/12/2012,P00027042,22
1/12/2012,P00027142,14
1/12/2012,P00027242,3
1/12/2012,P00027342,6
1/12/2012,P00027442,20
1/12/2012,P00027542,17
1/12/2012,P00027642,16
1/12/2012,P00027742,1
1/12/2012,P00027942,1
1/12/2012,P00028042,71
1/12/2012,P00028142,9
1/12/2012,P00028242,16
1/12/2012,P00028342,5
1/12/2012,P00028442,49
1/12/2012,P00028542,77
1/12/2012,P00028642,5
1/12/2012,P00028742,2
1/12/2012,P00028842,199
1/12/2012,P00028942,3
1/12/2012,P00029042,1
1/12/2012,P00029142,9
1/12/2012,P00029242,61
1/12/2012,P00029342,5
1/12/2012,P00029442,5
1/12/2012,P00029542,35
1/12/2012,P00029642,1
1/12/2012,P00029742,7
1/12/2012,P00029842,31
1/12/2012,P00029942,17
1/12/2012,P00030042,16
1/12/2012,P00030142,4
1/12/2012,P00030242,1
1/12/2012,P00030442,9
1/12/2012,P00030542,3
1/12/2012,P00030642,30
1/12/2012,P00030742,11
1/12/2012,P00030842,89
1/12/2012,P00030942,55
1/12/2012,P00031042,181
1/12/2012,P00031142,23
1/12/2012,P00031242,1
1/12/2012,P00031342,6
1/12/2012,P00031442,18
1/12/2012,P00031642,5
1/12/2012,P00031742,6
1/12/2012,P00031842,29
1/12/2012,P00031942,12
1/12/2012,P00032042,80
1/12/2012,P00032142,9
1/12/2012,P00032242,1
1/12/2012,P00032342,19
1/12/2012,P00032442,38
1/12/2012,P00032542,13
